Name	UUID	URI	URI_request_status
NuclearCalculator	73d1964e-ddff-49b5-b01c-23c02cc88402	https://github.com/jackwoodside/NuclearCalculator.jl.git	404
Numssp	bcd14c31-b0d4-4eae-b592-0213e767a021	https://github.com/brianyjtai1994/Numssp.jl.git	404
PeaceCypher	7743456c-e0c5-4477-a2b6-196c240b0368	https://github.com/PeaceFounder/PeaceCypher.jl.git	404
PeaceVote	129db535-0459-46ad-8d3d-b1fb8f318c74	https://github.com/PeaceFounder/PeaceVote.jl.git	404
QCIntegrals	67d073f6-f659-405d-833d-5a2f6a1cf902	https://github.com/felipelewyee/QCIntegrals.jl.git	200
QuasinormalModes	7b4b3212-f72a-4ba2-afa8-103f0bfb7cd6	https://github.com/lucass-carneiro/QuasinormalModes.jl.git	200
RandomizedNMF	3f2ee0b8-2aac-4501-a955-6c9296aa3f9e	https://github.com/tsano430/RandomizedNMF.jl.git	404
RestApis	766d9fe0-8bda-4b1c-9671-3009ced25364	https://github.com/extradosages/RestApis.jl.git	404
RhsJTool	5ab975a5-f155-4336-a876-3801e55c18d2	https://github.com/skahanium/RhsJTool.jl.git	404
RipsererDataPrep	af23ddc1-4c4f-4bcf-9c33-39460b30e4e2	https://github.com/cwjohnson1/RipsererDataPrep.jl.git	404
S2TwTrans	5cf70722-ebfd-496e-996c-d9fcb5a97026	https://github.com/brianyjtai1994/S2TwTrans.jl.git	404
SemanticSpaces	3acb29d5-902e-4acc-9bd8-2830ece8358d	https://github.com/fargolo/SemanticSpaces.jl.git	404
SimpleTools	4696fa5f-36f0-5b18-99a6-fef83351280f	https://github.com/scheinerman/SimpleTools.jl.git	200
SimpleTweaks	379a6b09-926d-464b-b907-221504e1dab7	https://github.com/owinter92/SimpleTweaks.jl.git	404
SkyMaps	04c32fc2-bb1c-4ba6-8717-c9d43359126f	https://gitlab.com/aplavin/SkyMaps.jl.git	503
SoilWater_ToolBox	374a444c-c624-4b44-9de1-37c0fe7c6d41	https://github.com/manaakiwhenua/SoilWater_ToolBox.jl.git	404
Sonic	c3c4c650-3bb6-4a80-aee6-49dcbcefb5f1	https://github.com/AmgalanB/Sonic.jl.git	404
SqState	8d120385-201d-43c1-a82b-e15c39505f50	https://github.com/foldfelis-QO/SqState.jl.git	404
StanDataFrames	80e77ffc-c35e-544b-8e57-5accc6d0de25	https://github.com/StanJulia/StanDataFrames.jl.git	404
StanMCMCChain	8f1571ae-b3a1-52af-8ab1-32258739efdb	https://github.com/StanJulia/StanMCMCChain.jl.git	404
StanMCMCChains	e9003ee5-8d1f-52e9-81b4-38b583c0e573	https://github.com/StanJulia/StanMCMCChains.jl.git	404
StanMamba	1f9da163-5ddd-5895-b7bb-161347ed2303	https://github.com/StanJulia/StanMamba.jl.git	404
StructuresKit	f6c18a9d-8941-4a0a-88a3-c5fc4dcc4715	https://github.com/runtosolve/StructuresKit.jl.git	404
TeXTable	a350b66b-315f-4c41-8dcc-4d7330525fdd	https://github.com/MUsmanZahid/TeXTable.jl.git	404
Tower	965ce0a6-fda6-11e9-2ec6-215e9e726cc7	https://github.com/julianossilva/Tower.jl.git	404
Try	bf1d0ff0-c4a9-496b-85f0-2b0d71c4f32a	https://github.com/JuliaPreludes/Try.jl.git	200
TryExperimental	ae3b139e-64da-4858-8f55-5617df0d650e	https://github.com/JuliaPreludes/Try.jl.git	200
Tui4jl	f62ea92b-1830-43a7-8bcc-e4c334842b76	https://github.com/MasFlam/Tui4jl.git	404
Unicode2LaTeX	a6a4b4a1-58ae-5f2f-bbf9-c7004aa6538b	https://gitlab.com/ninjin/unicode2latex.jl.git	503
Vortice	286ff66b-9b1b-5805-8ad0-4d725a2cae59	https://github.com/JonathanLoz/Vortice.jl.git	404
WGPUCompute	494b1f74-06dd-4437-8477-4a86f2a8d703	https://github.com/dvijaha/WGPUCompute.jl.git	200
YahooFinance	71b753c1-733f-4418-b8b2-c1bb484780f7	https://github.com/markushhh/YahooFinance.jl.git	404
